Requirement Number,Status,Operating Entity,Group,Unit/ Directorate,Owner Ranking,Title,Justification,Impact if not Funded,"Priority Level (0, 1, 2, A, E)",PEC,BA,SAG,Panel,EEIC,Object Class,ESP,Cost Center,AAI , Requirement Total , Wing Funded Total  , Unfunded Total based on Wing Funded ,PEM Remarks,HQ FMA Remarks, EP Funded Amount , Unfunded Amount Based on EP Funding , Need By Date ,Method of Purchase,Is Recurring,Final FY,Is Civ Pay,Contract Number ,PoP Start Date,PoP End Date,Created By Org,AFGSC/FMAO Reveiwed By
2022-F6790-000011,In Work,F6790,Maintenance Group,2 MXS,,Mission TDY,"Support required for Aircraft system review conferences/symposiums, and unit funded conferences",Failure to fund will result in maintenance personnel not being able to attend conferences in person to learn new innovative processes and equipment available to maintain the B-52 and support equipment.  Maintenance Squadron supervision would not have input at symposiums where decisions concerning the B-52 and support equipment are decided.,2,11113F,,011A,E,40924,2101101,,34FIJ0,387700,"10,000.00",,"10,000.00",,,,"10,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000012,In Work,F6790,Maintenance Group,2 MXS,,Consumables,"Provides operating materials supporting 650 personnel.  Items include toner, paper, general office supplies, restroom supplies, cleaning supplies, light bulbs and other daily use items.  Funds also provide for replacement of minor office equipment such as shredders.  Paper and toner are critical in the maintenance of aircraft to allow for the production of aircraft forms and other documents without which aircraft would be prohibited from flight.",This can impact health and safety if cleaning/hygienic supplies are unavailable.  Failure to replace office supplies and equipment severely hinders the ability to complete daily tasks and ensure a positive flow of communication.,2,11113F,,011A,E,61950,2603312,,34FIJ0,387700,"50,000.00",,"50,000.00",,,,"50,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000013,In Work,F6790,Maintenance Group,2 MXG,,RESERVE MANDAYS/TDYS,Funds needed to support Reserve Manpower Days doing High Ops Tempo and Large Scale Exercises,Reservists would not be able to use the authorized man-days because no funds are available for the travel and per diem for them to come from outside local area,2,11113F,,011A,E,40945,2101106,,342600,387700,"15,000.00",,"15,000.00",,,,"15,000.00",,DTS,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000014,In Work,F6790,Maintenance Group,2 MXG,,MISSION TDYS,"Support required for Weapons system reviews, group commander tdys, graduation attendance, and unit funded conferences","Failure to fund will result in group personnel not being able to attend conferences in person to learn new innovative processes and equipment available to maintain the B-52, support equipment, and munitions.  2 MXG would not have a ""voice"" at symposiums where decisions concerning the B-52, support equipment, and munitions are accomplished.",,11113F,,011A,E,40924,2101101,,342600,387700,"40,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000015,In Work,F6790,Maintenance Group,2 MXG,,CONSUMABLES,"2d MXG (3 Squadrons, 4 Flights and staff/1850 personnel) Gov't Purchase Card purchases for required consumable items/equipment, calibration/repair/replacement of non-fly equipment, weight testing, Mule/compressor servicing/repair maintenance/replacement,  and mission critical/sensitive support items not categorized as flying hour authorized/approved. Replace air compressors at two back-shop facilities(not real property), air testing components and filtration system of the paint booth and flight-line support equipment.  Requirement include cleaning and restroom supplies for facilities not covered on the base cleaning contract due to the fact they are located in a secure areas and cannot be added to the contract.","Lack of funding would result in failure of compressors, facility air, and support equipment.  Unable to purchase replacement tools/equipment when they break.  Lack of funding will also cause facilities to be unsanitary creating a breeding ground for disease, and eventually illness to employees who will be unable to perform their assigned duties causing mission failure.",1,11113F,,011A,E,61950,2603312,,342600,387700,"300,000.00",,"300,000.00",,,,"300,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000016,In Work,F6790,Maintenance Group,2 MXG,,TRANSIENT ALERT,Contract # FA460816C0002 Monthly services and 600 extended hours.  Contract supports landing/takeoffs for all aircraft transient to BAFB.,Contract # FA460816C0002 Monthly services and 600 extended hours.  Contract supports landing/takeoffs for all aircraft transient to BAFB.,0,11113F,,011A,E,5561A,2572123,,342600,387700,"450,000.00",,"450,000.00",,,,"450,000.00",,Form 9,Yes,,No,FA460816C0002,1-Dec-21,30-Nov-22,2nd Bomb Wing (ALO),
2022-F6790-000017,In Work,F6790,Maintenance Group,2 MXG,,LEASED COPIERS,10 leased high-volume DLA copiers throughout 2 MXG. Savings just on ink cartridges/maintenance is over 60k annually,Unable to print CDCs for members in AFSCs that have a CDC program,2,11113F,,011A,E,50301,2401101,,342600,387700,"32,000.00",,"32,000.00",,,,"32,000.00",,MIPR,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000018,In Work,F6790,Maintenance Group,2 MUNS,,CALCM XB-3 Supply Consumables,The needed funding necessary to complete AFGSC/A4W defuel/demilitarization efforts on the CALCM fleet that is maintained at BAFB. ,"Without will not be able to complete AFGSC/AFW mission requirements.  In addition, AFGSC/A4W cannibalization/reclamation of vital CALCM components to fuel Minot AFB's and Barksdale AFB's ALCM FMC stockpile would cease and cost savings generated would not be realized.",2,27323F,,011A,T,609,2602306,,34A250,667100,"100,000.00",,"100,000.00",,,,"100,000.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000019,In Work,F6790,Maintenance Group,2 MUNS,,ALCM XB-3 Supply Consumables,The needed funding necessary to sustain the ALCM return to service mission that is vital for USSTRATCOM directed testing and AFGSC directed rebasing of missiles.,The needed funding necessary to sustain the ALCM return to service mission that is vital for USSTRATCOM directed testing and AFGSC directed rebasing of missiles.,1,11122F,,011A,E,609,2602306,,342760,667100,"100,000.00",,"100,000.00",,,,"100,000.00",,SUPPLY,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000020,In Work,F6790,Maintenance Group,2 MUNS,,Missile rebasing,To properly fund Missile shipments directed rebasing by AFGSC for ALCM missiles to Minot AFB.,If not funded will not be able to rebase missiles to Minot AFB as required by AFGSC.,1,11122F,,011A,E,46200,2201101,,342760,387700,"50,000.00",,"50,000.00",,,,"50,000.00",,MORD,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000021,In Work,F6790,Mission Support Group,Contracting,,GPC - Operation and Maintenance Supplies (Recurring),"Office supplies and equipment used in the acquisitioning process that support the purchase of Barksdale supplies, services and construction services.  2 CONS requires toners, paper, folders, tabs and various other organizational tools.",Work stoppage - 2 CONS personnel won't be able to perform their daily duties.,2,18534F,,011Z,N,61950,2603312,,3A4A00,387700,"12,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000022,In Work,F6790,Mission Support Group,Contracting,,TDY - CONS ,"TDY 1) Will be for Small Business Specialist to attend Annual Small Business Administration conference/training/workshop/retreat.   There are approximately 4 conferences.  Two are located  within driving range of local area requiring only one night stay. The annual training is a week long training for all contracting squadron small business specialist to attend. TDY 2) GSA Smart Pay Conference - GPC Program Manager will attend this 4 day training to gain valuable tools to effectively manage the 450 cardholders located at Barksdale, which includes cardholders for MAJCOMS and tenant units as well as the ODTA for Travel in order to learn the latest updates to the Government Travel System.  FY22 location unknown at this time.  TDY 3) World Wide Contracting Conference  - The nation's premier training event for contract management, procurement, and acquisition professionals. This will be attended by the Commander. TDY 4) Civilian Functional Training  which captures critical developmental needs of civilian employees across the Air Force. 




",Hinders professional growth and compromises mission excellence.  The lack of sufficient training will prevent 2 CONS from providing the necessary support to keep the installation modernized and ready for action to execute with precise lethality.  ,2,18534F,,011Z,N,40924,2101101,,3A4A00,387700,"19,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000023,In Work,F6790,Mission Support Group,MSG Staff,,TDY - Group Commander ,Funds are required for travel costs for Commander's school/training and mission conferences or events critical to overall operation of Mission Support Group.,MSG/CC and Staff would not be able to attend mission conferences or events critical to overall operation of Mission Support Group.,2,18534F,,011Z,N,40924,2101101,,3A4000,387700,"15,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000024,In Work,F6790,Mission Support Group,MSG Staff,,GPC - Group Commander Office supplies/equipment phone bills,Wireless phone charges and critical office supplies that directly support day to day operations of Mission Support Group.,MSG CC/CD/CCC cell phones would be shut off. We wouldn't be able to print and sign decs and policy letters for the group.,2,18534F,,011Z,N,61950,2603312,,3A4000,387700,"15,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000025,In Work,F6790,Mission Support Group,2 FSS,,GPC - Military Personnel Section,"To purchase office supplies for the Military Personnel, Manpower sections. Office supplies and equipment are used in the acquisitioning process that support the purchase of Barksdale supplies, services and requires toners, paper, folders, tabs and various other organizational tools. Military Personnel Flight is instrumental in protecting confidentiality reports, classified and privileged investigative documents. MPF processes PCS assignments, performance reports, ID Card applications, Personal Reliability Program paperwork and various other personnel actions for over 5.3K base members and their dependents.","These office supplies are essential for Military Personnel Flight and if not funded, could result in customers losing base access and privileges.  MPF could fail to meet Air Force and MAJCOM suspense’s for TDY’s, Deployments, PCS’s, and potential pay discrepancies.",2,18560F,,011Z,P,61950,2603312,,3A4110,387700,"27,500.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000026,In Work,F6790,Mission Support Group,2 FSS,,GPC - Airman Leadership School Program Supplies,"To purchase office, classroom and graduation supplies for the Barksdale AFB Airman Leadership School.   Multiple supplies, workbooks, classroom aids and training materials are needed to maintain day-to-day operations supporting the 2d Bomb Wing personnel.","If not funded the Airmen Leadership School Program could not effectively train 400 plus Airmen to become supervisors, or effectively implement Air University/Barnes Center Curriculum as mandated by Barnes Center Instruction 36-2301 which is the directive of AFI36-2656 Developmental Education",2,84751F,,032C,H,61950,2603312,,3A3340,387700,"26,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000027,In Work,F6790,Mission Support Group,2 FSS,,GPC - Civilian Personnel Office Program Supplies,Funds needed to purchase office supplies for the Civilian Personnel Office. Supplies are needed to maintain day-to-day operations supporting the 2d Bomb Wing civilian personnel mission requirements.,Civilian Personnel Office handles sensitive documentation and confidential reports for all of Barksdale AFB.  Failure to fund CIV Pers. with supplies would result in inability to operate and provide Barksdale AFB populous with acceptable level of service and performance,2,18561F,,011Z,P,61950,2603312,,3A4131,387700,"5,600.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000028,In Work,F6790,Mission Support Group,2 FSS,,TDY - Education Center ,"Education Center is required to send personnel to attend CCAF training, Education Professional Institute (PDI), Council of College and Military Education Symposium(CCME).  Attendance to these trainings opportunities are required by AFI 36-2649","Failure to fund these TDY's will result in Education Advisors not being current on new education opportunities and requirements, therefore impacting students and customers with education needs, Air Force standards and mission requirements.",2,84702F,,033C,P,40924,2101101,,3A4140,387700,"8,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000029,In Work,F6790,Mission Support Group,2 FSS,,Education Center Contracts,"Ed Advisor (2 Full-time counselors)/Test Admin (1 Part-time) combined contract funding is required for the annual contract in support of Barksdale personnel to include but not limited to:  advisors, classroom monitors, test administrators, distance learning monitors, computer support, special group instruction and customer service.  Education Advisor required to assist off duty students with career counseling and Associate/Bachelor degree plans. FY22 contract amount $173,003.20  Tech Support Contract funding ensures all classroom computers are operational, troubleshoots all commercial connectively,  verifies all testing files are transmitted and loaded monthly.  Monitors all maintenance, any repairs required, and security throughout the building.  Ensures operation for computer systems during off duty education and online classes. FY22 estiamted contract amount $30K ","Failure to fund the Education Advisor/Test Admin contract would result in loss of education advice, career planning, test administrators and supervision for Barksdale AFB's Airmen.   Failure to fund the Tech Support contract would result in loss of maintenance and repair of computers and software systems.",1,84702F,,033C,P,55885,2521285,,3A4140,387700,"197,340.80",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000030,In Work,F6790,Mission Support Group,FTAC,,GPC - First Term Airmen Center Program Supplies,"To purchase office and classroom supplies for the Barksdale AFB First Term Airman Center.  Supplies are needed to maintain day-to-day operations supporting the 2d Bomb Wing personnel.  Classroom materials, training guides and office supplies are essential to complete the First Term Airmen Course which is mandatory for all first term airmen per AFI 36-2624 Ch. 6. The program is designed to provide a structured first duty station professional development program, designed to transition Airmen from a training mindset to the mission-oriented environment. FTAC goes through 360 airmen per year and includes courses such as WG/CC and WG/CCC’s perspective on Barksdale AFB and AFGSC, resiliency training, SAPR, Article 137 Briefing by Legal, Public Affairs, Personal Financial Management, Career Assistance Advisor, Chapel, AFGSC Fundamentals, ADAPT, A&FRC, Airmanship 300, Education Office and more.",If not funded we would fail in providing our First Term Airmen the tools needed to transition from a training environment to a mission-oriented environment.  First Term Airmen Course is mandatory or all first term airmen per AFI 36-2624 Ch. 6.,2,88716F,,042A,P,61950,2603312,,3A4190,387700,"6,400.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000031,In Work,F6790,Mission Support Group,Base Honor Guard,,GPC - Honor Guard Program Supplies and Equipment,"Honor Guard has a high-volume administrative load that requires the constant purchase of supplies.  Every ceremony that leaves the office requires supplies.  Each case has a ceremony package which contains a cover sheet, map (in case there is no signal where the funeral is), and a 1946 with additional info in case we can’t get a hold of the funeral director (which happens a lot).  We go through a pack of 9 volt batteries every week.  We use markers, tape, paper, paper clips, cartridges/toners, sticky notes and staples every day. Honor Guard Equipment is needed to support 23 personnel for mission requirements. Requirements include uniforms, gloves, alterations, flags, flag poles and document holders. Honor Guard has high turnover between guards member and cannot re-use uniforms, every 3 months we have at least 12 new members that require uniform items (coats, pants, shoes, badges, etc.) Historically, Honor Guard participates in 1400+ events to include military funerals, retirement ceremonies and color presentations at special events. The Honor Guard must also have cell phone coverage to function at Air Force standard levels.",Without these supplies Honor Guard would not be able to make ceremony packages which would cause confusion and the loss of valuable information needed to accomplish the mission. Without proper equipment HG would not be able to participate in in these events and do their job as guardsman.,2,18534F,,011Z,N,61950,2603312,,3A45HG,387700,"47,300.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000032,In Work,F6790,Mission Support Group,2 CS,,Training Priorities,"Continual Cyber skills training to include SharePoint training, server-based training and switchboard training.  IT training received from commercial sources necessary to train Network Control Center, Network Operations and Security Center, Area Processing Center and Enterprise Service Unit personnel to maintain and operate Common User Enterprise Services such as data storage, email, web and network management. Required to train replacements and optimize 2d Communications Squadron ability to sustain and defend the SIPR and non-classified network. New flight needing required training for integration into new Cyber Command. Additional training is required to optimize 2 CS ability to sustain and defend the SIPR and non-classified network as well as congressionally mandated requirements to maintain operations.",Communications squdron will not maintain the most current processes to sustain and defend the SIPR and non classified networks.,1,33005F,,011Z,Y,44030,2331002,,3A4200,387700,"280,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000033,In Work,F6790,Mission Support Group,2 CS,,"GPC - License Renewals, Teradici Software Renewal, and Wireless Charges","Operation and Maintenance requirements include software license annual renewals (Solar Winds Module (tracking IP addresses), CBT Nuggets, Solar Winds Server & Application Monitor/Event Manager$25K, Nutanix SIPR VDI Hardware $25K, Nutanix SIPR Server Virtualization $25K, Nutanix NIPR Server Virtualization $25K, Dell Storage Center Maintenance for NIPR $25K/ SIPR $25K- both Dell maintenance support items). The annual Desktop All Access Subscription provides a license for the PCoIP (PC over IP) Management Console Enterprise.  The license for this console expires each year and disables the console.  This console is used to manage the 750 Zero client devices on the Secret Internet Protocol Router Network (SIPRNET).  Specifically the subscription provides access to the latest firmware updates for the Zero Client devices. These updates close security vulnerabilities and provide feature updates needed to operate the virtual desktop environment.  When new SIPRNET tokens are introduced, some are not compatible with the current firmware release. This breaks SIPRNET capability for users that have received new tokens until the firmware for the Zero Client device has been updated to provide compatibility.  The Enterprise Console allows 2 CS to push the updates to all online Zero clients quickly. Without the console, each Zero Client device would have to be manually updated, taking hundreds of staffing hours.  Additionally, without the subscription, the updated firmware may not be available for download, preventing users with new tokens from performing their mission. GPC for 2 CS Wireless devices, Standby, CC  Staff, Shirt, Chief, and Exec Comm.",Communications squadron will not be able to maintain communications services for the base. Command and control functions will be disabled over SIPRNet and non-classified network. Users will not have internet access base wide. These recurring GPC annual items at Barksdale AFB will result in mission stoppage or critical safety/operational hazards if not funded. CS key personnel will not be able to communicate away from their office.,1,33005F,,011Z,Y,61950,2603312,,3A4200,387700,"178,508.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000034,In Work,F6790,Mission Support Group,2 CS,,CSA Contract (Base Telephone (Trunk) Bills),Base Telephone (Trunk) bills and public telephone network connections. Annual Contract.,Barksdale base telephone contract will result in mission stoppage for all trunk phone lines. There will be no phone connectivity base wide.,1,33005F,,011Z,Y,44200,2331100,,3A42F0,387700,"70,573.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000035,In Work,F6790,Mission Support Group,2 CS,,LONG DISTANCE Toll Charges,"Base Long Distance Toll Charges, mandated Network contract services.",Barksdale base long distance toll MORD will result in mission stoppage for all base long distance toll charges capabilities. Individuals base wide will not be able to make commercial and long distance phone calls.,1,33005F,,011Z,Y,44700,2331501,,3A4200,387700,"17,000.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000036,In Work,F6790,Mission Support Group,2 CS,,GPC - Wireless Charges,"GPC for 2 CS Wireless devices, Standby, CC  Staff, Shirt, Chief, and Exec Comm.",These recurring GPC annual items at Barksdale AFB will result in mission stoppage or critical safety/operational hazards if not funded. CS key personnel will not be able to communicate away from their office.,,33005F,,011Z,Y,61950,2603312,,3A4200,387700,"7,200.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000037,In Work,F6790,Maintenance Group,2 AMXS,,PPE,"Personal Protective Equipment such as flight suits, flight boots, multi climate protection system are required by AFI 11-301 Vol 1 Para 2.17 for flying crew chiefs to fly, failure to fund will result in severe loss of aircrew training and degradation of ability to perform assigned tasking, Cold weather gear to protect individuals from harsh winter conditions.",Crew Chiefs will be unable to fly with flight crews on missions in which they are able to fix minor issues during flight; crew chiefs would have to travel commercially to forward locations of the aircraft.  Personnel will also be affected by weather leading to sickness.  Additionally exposure to loud noise and industrial area hazards can lead to physical injuries or death.,1,11113F,,011A,E,61956,2603327,,34FIG0,387700,"20,000.00",,"20,000.00",,,,"20,000.00",,GPC,Yes,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000038,In Work,F6790,Mission Support Group,2 CS,,Conventional Wireless Sustainment Contract,Wireless conventional repeaters required for Nuclear Operations (first responders) and dispatch stations.,"Mission stoppage for required nuclear operations, first responders and dispatch stations.",,33005f,,011Z,Y,44310,2331202,,3A4200,387700,"86,640.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
2022-F6790-000039,In Work,F6790,Mission Support Group,2 FSS,,"GPC - Education Center Supplies, Equipment, and Kiosk Mx","The Education Center supports all the Barksdale Air Force Base populous with meeting Air Force standards in Education requirements and beyond. Supplies to support required services are/but not limited to batteries, replacement battery cartridges, laminated marking tape, toners, paper, folders, pens, pencils, markers, highlighters, calendars, and envelopes. The Education Center supports all the Barksdale Air Force Base populous with meeting Air Force standards in Education requirements and beyond.  Desktop, Printers, and Monitors are on a rotational replacement basis and are to be replaced when warranty expires per AF Directive.  Ed Center needs to replace desktop MT PC systems for Computer Training Lab and Classroom Smart Teaching Stations (warranty expired Sep 2019).  Requesting to replace a out-of-warranty printer in the Testing Lab, the MFP in WAPS Testing (warranty expired October 2019).  All monitors in Testing Lab and Ed CTR Computer Training Lab need replaced (warranty expired November 2019).  Set up a Work Fit-A station with dual monitor and suspended work/keyboard table.   Replace server to host E-Exam, 3 CDC/PME testing software programs and tests.  Current server was purchased in 2007 and is insufficient for testing. Funds needed for Software assurance/maintenance to provide for all TIPS software during the covered maintenance and/or subscription periods. Software updates/upgrades are provided as they are released.","Barksdale AFB Education Center provides its patrons with education requirements and opportunities.  If not funded the Education Center day to day operations, education opportunities for active duty, and their families would fail. Failure to fund this requirement will cause the Education Center to have inadequate equipment to meet the needs of Barksdale AFB patrons with testing requirements and education programs.  Having outdated expired equipment and software puts the Ed Center staff and customers at risk for mission stoppage with education and AF requirements. Failure to fund the Education Center kiosk with updates and required maintenance could cause backlogs and/or failure of the kiosk system. Member's will have to resort to paper sign-in and not be able to make future appointments through the app or kiosk. This will impede customer and technician quality of service.",2,84702F,,033C,P,61950,2603312,,3A4140,387700,"40,492.00",,,,,,,,,,,No,,,,2nd Bomb Wing (ALO),
